Estación:       CUMBRE DE MTY I,  NL
Operada por:    SMN EMAS
Longitud:       100°23'23"  Longitud: 25°33'35"  Altitud: 1455

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL    TEMPCOMB     HUMCOMB     HUMSUBS    TEMPSUBS
31/01/2018 06:00         154         108        1.57        4.30         4.3          71       936.9         0.0         0.0         2.8          61           6        13.7
31/01/2018 07:00         184         228        2.11        5.80         3.2          76       936.4         0.0         0.0         1.9          66           6        13.4
31/01/2018 08:00         211         259        3.23        8.30         2.9          79       935.9         0.0         0.0         1.3          70           6        13.2
31/01/2018 09:00         169         113        2.42        7.90         2.5          80       935.3         0.0         0.0         0.9          73           5        12.8
31/01/2018 10:00         168         118        2.74        6.10         1.7          84       934.7         0.0         0.0         0.4          76           6        12.5
31/01/2018 11:00         177         113        3.14        9.40         1.8          86       934.3         0.0         0.0         0.8          80           6        12.2
31/01/2018 12:00         190         162        2.23        6.10         2.8          85       934.3         0.0         0.0         2.1          81           5        12.0
31/01/2018 13:00         194         116        2.51        8.60         3.7          82       934.3         0.0         5.3         2.9          82           5        11.7
31/01/2018 14:00         162         124        1.56        6.80         7.1          67       934.4         0.0       141.3         6.9          82           5        11.5
31/01/2018 15:00         148         145        1.93        7.60        14.1          39       934.4         0.0       348.5        14.4          64           5        11.5
31/01/2018 16:00          57          82        2.69        8.30        17.7          28       934.2         0.0       530.8        18.6          50           5        11.5
31/01/2018 17:00          28          27        7.55       19.40        20.5          23       933.2         0.0       672.3        21.3          39           6        11.6
31/01/2018 18:00          33          37       15.71       31.70        21.8          23       931.7         0.0       635.2        27.8          26           6        12.0
31/01/2018 19:00          28          38       19.79       39.20        20.9          26       930.2         0.0       422.3        25.8          23           5        12.4
31/01/2018 20:00          24          20       23.51       40.70        21.8          24       929.0         0.0       500.3        28.2          20           5        12.9
31/01/2018 21:00          25          21       22.91       39.20        22.4          24       928.6         0.0       350.7        27.5          19           5        13.4
31/01/2018 22:00          27          30       20.88       36.00        21.3          27       928.4         0.0       183.5        23.4          22           6        13.9
31/01/2018 23:00          27          27       19.24       32.80        19.9          32       928.4         0.0        83.2        20.3          28           6        14.3

